,Date,To_Date,Predict_values
0,2000-12-17,2000-12-24,0
1,2000-12-24,2000-12-31,0
2,2000-12-31,2001-01-07,0
3,2001-01-07,2001-01-14,0
4,2001-01-14,2001-01-21,1
5,2001-01-21,2001-01-28,1
6,2001-01-28,2001-02-04,1
7,2001-02-04,2001-02-11,0
8,2001-02-11,2001-02-18,1
9,2001-02-18,2001-02-25,1
10,2001-02-25,2001-03-04,0
11,2001-03-04,2001-03-11,0
12,2001-03-11,2001-03-18,1
13,2001-03-18,2001-03-25,1
14,2001-03-25,2001-04-01,1
15,2001-04-01,2001-04-08,1
16,2001-04-08,2001-04-15,0
17,2001-04-15,2001-04-22,0
18,2001-04-22,2001-04-29,0
19,2001-04-29,2001-05-06,1
20,2001-05-06,2001-05-13,1
21,2001-05-13,2001-05-20,1
22,2001-05-20,2001-05-27,1
23,2001-05-27,2001-06-03,1
24,2001-06-03,2001-06-10,1
25,2001-06-10,2001-06-17,1
26,2001-06-17,2001-06-24,0
27,2001-06-24,2001-07-01,0
28,2001-07-01,2001-07-08,0
29,2001-07-08,2001-07-15,1
30,2001-07-15,2001-07-22,1
31,2001-07-22,2001-07-29,1
32,2001-07-29,2001-08-05,1
33,2001-08-05,2001-08-12,1
34,2001-08-12,2001-08-19,1
35,2001-08-19,2001-08-26,0
36,2001-08-26,2001-09-02,0
37,2001-09-02,2001-09-09,0
38,2001-09-09,2001-09-16,0
39,2001-09-16,2001-09-23,0
40,2001-09-23,2001-09-30,1
41,2001-09-30,2001-10-07,0
42,2001-10-07,2001-10-14,0
43,2001-10-14,2001-10-21,1
44,2001-10-21,2001-10-28,1
45,2001-10-28,2001-11-04,1
46,2001-11-04,2001-11-11,0
47,2001-11-11,2001-11-18,0
48,2001-11-18,2001-11-25,1
49,2001-11-25,2001-12-02,1
50,2001-12-02,2001-12-09,1
51,2001-12-09,2001-12-16,0
52,2001-12-16,2001-12-23,0
53,2001-12-23,2001-12-30,1
54,2001-12-30,2002-01-06,1
55,2002-01-06,2002-01-13,1
56,2002-01-13,2002-01-20,1
57,2002-01-20,2002-01-27,1
58,2002-01-27,2002-02-03,1
59,2002-02-03,2002-02-10,1
60,2002-02-10,2002-02-17,0
61,2002-02-17,2002-02-24,0
62,2002-02-24,2002-03-03,0
63,2002-03-03,2002-03-10,1
64,2002-03-10,2002-03-17,1
65,2002-03-17,2002-03-24,1
66,2002-03-24,2002-03-31,1
67,2002-03-31,2002-04-07,1
68,2002-04-07,2002-04-14,1
69,2002-04-14,2002-04-21,0
70,2002-04-21,2002-04-28,0
71,2002-04-28,2002-05-05,0
72,2002-05-05,2002-05-12,0
73,2002-05-12,2002-05-19,0
74,2002-05-19,2002-05-26,1
75,2002-05-26,2002-06-02,1
76,2002-06-02,2002-06-09,1
77,2002-06-09,2002-06-16,0
78,2002-06-16,2002-06-23,0
79,2002-06-23,2002-06-30,0
80,2002-06-30,2002-07-07,0
81,2002-07-07,2002-07-14,0
82,2002-07-14,2002-07-21,0
83,2002-07-21,2002-07-28,0
84,2002-07-28,2002-08-04,0
85,2002-08-04,2002-08-11,1
86,2002-08-11,2002-08-18,1
87,2002-08-18,2002-08-25,1
88,2002-08-25,2002-09-01,1
89,2002-09-01,2002-09-08,0
90,2002-09-08,2002-09-15,0
91,2002-09-15,2002-09-22,0
92,2002-09-22,2002-09-29,1
93,2002-09-29,2002-10-06,1
94,2002-10-06,2002-10-13,0
95,2002-10-13,2002-10-20,1
96,2002-10-20,2002-10-27,1
97,2002-10-27,2002-11-03,1
98,2002-11-03,2002-11-10,0
99,2002-11-10,2002-11-17,0
100,2002-11-17,2002-11-24,0
101,2002-11-24,2002-12-01,1
102,2002-12-01,2002-12-08,1
103,2002-12-08,2002-12-15,1
104,2002-12-15,2002-12-22,0
105,2002-12-22,2002-12-29,0
106,2002-12-29,2003-01-05,0
107,2003-01-05,2003-01-12,0
108,2003-01-12,2003-01-19,0
109,2003-01-19,2003-01-26,0
110,2003-01-26,2003-02-02,0
111,2003-02-02,2003-02-09,0
112,2003-02-09,2003-02-16,1
113,2003-02-16,2003-02-23,1
114,2003-02-23,2003-03-02,1
115,2003-03-02,2003-03-09,1
116,2003-03-09,2003-03-16,0
117,2003-03-16,2003-03-23,0
118,2003-03-23,2003-03-30,1
119,2003-03-30,2003-04-06,1
120,2003-04-06,2003-04-13,1
121,2003-04-13,2003-04-20,1
122,2003-04-20,2003-04-27,0
123,2003-04-27,2003-05-04,0
124,2003-05-04,2003-05-11,0
125,2003-05-11,2003-05-18,0
126,2003-05-18,2003-05-25,0
127,2003-05-25,2003-06-01,0
128,2003-06-01,2003-06-08,0
